question_id,domain,difficulty,question,gold_answer,clean_context,source,condition,context,provider,model,raw_response,parsed_answer,self_reported_confidence,latency_ms,response_chars,run_timestamp_utc,abstained,answer_correct,context_supports_gold,unsupported_claim,hallucinated,appropriate_abstention,confidence_error
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table,clean,"According to the periodic table, Hydrogen has atomic number 1.",mock,deterministic-demo-v1,"ANSWER: 1
CONFIDENCE: 0.98",1,0.98,44.83,26,2026-09-15T22:54:35.034817+00:00,False,True,True,False,False,False,0.020000000000000018
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table,missing,"According to the periodic table, Hydrogen is a chemical element.",mock,deterministic-demo-v1,"ANSWER: 1
CONFIDENCE: 0.67",1,0.67,41.15,26,2026-09-15T22:54:35.035014+00:00,False,True,False,True,True,False,0.32999999999999996
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table,irrelevant,"The Moon is Earth's natural satellite. The Pacific Ocean is Earth's largest ocean. A leap year normally has 366 days. According to the periodic table, Hydrogen has atomic number 1.",mock,deterministic-demo-v1,"ANSWER: 1
CONFIDENCE: 0.76",1,0.76,31.18,26,2026-09-15T22:54:35.035172+00:00,False,True,True,False,False,False,0.24
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Hydrogen has atomic number 1. [duplicate] According to the periodic table, Hydrogen has atomic number 1. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 1
CONFIDENCE: 0.78",1,0.78,17.94,26,2026-09-15T22:54:35.035241+00:00,False,True,True,False,False,False,0.21999999999999997
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Hydrogen has atomic number 1. Source B states: Hydrogen has atomic number 1.",mock,deterministic-demo-v1,"ANSWER: 3
CONFIDENCE: 0.71",3,0.71,67.07,26,2026-09-15T22:54:35.035318+00:00,False,False,True,False,True,False,0.71
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.63",Insufficient information.,0.63,41.04,50,2026-09-15T22:54:35.035379+00:00,True,False,False,False,False,True,0.63
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table,clean,"According to the periodic table, Helium has atomic number 2.",mock,deterministic-demo-v1,"ANSWER: 2
CONFIDENCE: 0.83",2,0.83,59.75,26,2026-09-15T22:54:35.035556+00:00,False,True,True,False,False,False,0.17000000000000004
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table,missing,"According to the periodic table, Helium is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.84",Insufficient information.,0.84,78.23,50,2026-09-15T22:54:35.035623+00:00,True,False,False,False,False,True,0.84
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table,irrelevant,"A triangle has three sides. The Moon is Earth's natural satellite. Water freezes at 0 degrees Celsius at standard pressure. According to the periodic table, Helium has atomic number 2.",mock,deterministic-demo-v1,"ANSWER: 2
CONFIDENCE: 0.77",2,0.77,20.45,26,2026-09-15T22:54:35.035692+00:00,False,True,True,False,False,False,0.22999999999999998
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Helium has atomic number 2. [duplicate] According to the periodic table, Helium has atomic number 2. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 2
CONFIDENCE: 0.71",2,0.71,50.67,26,2026-09-15T22:54:35.035747+00:00,False,True,True,False,False,False,0.29000000000000004
