question_id,domain,difficulty,question,gold_answer,clean_context,source
Q001,chemistry,easy,What is the atomic number of Hydrogen?,1,"According to the periodic table, Hydrogen has atomic number 1.",IUPAC periodic table
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table
Q012,chemistry,easy,What is the atomic number of Magnesium?,12,"According to the periodic table, Magnesium has atomic number 12.",IUPAC periodic table
Q013,chemistry,easy,What is the atomic number of Aluminum?,13,"According to the periodic table, Aluminum has atomic number 13.",IUPAC periodic table
Q014,chemistry,easy,What is the atomic number of Silicon?,14,"According to the periodic table, Silicon has atomic number 14.",IUPAC periodic table
Q015,chemistry,easy,What is the atomic number of Phosphorus?,15,"According to the periodic table, Phosphorus has atomic number 15.",IUPAC periodic table
Q016,chemistry,easy,What is the atomic number of Sulfur?,16,"According to the periodic table, Sulfur has atomic number 16.",IUPAC periodic table
Q017,chemistry,easy,What is the atomic number of Chlorine?,17,"According to the periodic table, Chlorine has atomic number 17.",IUPAC periodic table
Q018,chemistry,easy,What is the atomic number of Argon?,18,"According to the periodic table, Argon has atomic number 18.",IUPAC periodic table
Q019,chemistry,easy,What is the atomic number of Potassium?,19,"According to the periodic table, Potassium has atomic number 19.",IUPAC periodic table
Q020,chemistry,easy,What is the atomic number of Calcium?,20,"According to the periodic table, Calcium has atomic number 20.",IUPAC periodic table
Q021,chemistry,moderate,What is the atomic number of Scandium?,21,"According to the periodic table, Scandium has atomic number 21.",IUPAC periodic table
Q022,chemistry,moderate,What is the atomic number of Titanium?,22,"According to the periodic table, Titanium has atomic number 22.",IUPAC periodic table
Q023,chemistry,moderate,What is the atomic number of Vanadium?,23,"According to the periodic table, Vanadium has atomic number 23.",IUPAC periodic table
Q024,chemistry,moderate,What is the atomic number of Chromium?,24,"According to the periodic table, Chromium has atomic number 24.",IUPAC periodic table
Q025,chemistry,moderate,What is the atomic number of Manganese?,25,"According to the periodic table, Manganese has atomic number 25.",IUPAC periodic table
Q026,chemistry,moderate,What is the atomic number of Iron?,26,"According to the periodic table, Iron has atomic number 26.",IUPAC periodic table
Q027,chemistry,moderate,What is the atomic number of Cobalt?,27,"According to the periodic table, Cobalt has atomic number 27.",IUPAC periodic table
Q028,chemistry,moderate,What is the atomic number of Nickel?,28,"According to the periodic table, Nickel has atomic number 28.",IUPAC periodic table
Q029,chemistry,moderate,What is the atomic number of Copper?,29,"According to the periodic table, Copper has atomic number 29.",IUPAC periodic table
Q030,chemistry,moderate,What is the atomic number of Zinc?,30,"According to the periodic table, Zinc has atomic number 30.",IUPAC periodic table
Q031,chemistry,moderate,What is the atomic number of Gallium?,31,"According to the periodic table, Gallium has atomic number 31.",IUPAC periodic table
Q032,chemistry,moderate,What is the atomic number of Germanium?,32,"According to the periodic table, Germanium has atomic number 32.",IUPAC periodic table
Q033,chemistry,moderate,What is the atomic number of Arsenic?,33,"According to the periodic table, Arsenic has atomic number 33.",IUPAC periodic table
Q034,chemistry,moderate,What is the atomic number of Selenium?,34,"According to the periodic table, Selenium has atomic number 34.",IUPAC periodic table
Q035,chemistry,moderate,What is the atomic number of Bromine?,35,"According to the periodic table, Bromine has atomic number 35.",IUPAC periodic table
Q036,chemistry,moderate,What is the atomic number of Krypton?,36,"According to the periodic table, Krypton has atomic number 36.",IUPAC periodic table
Q037,chemistry,moderate,What is the atomic number of Rubidium?,37,"According to the periodic table, Rubidium has atomic number 37.",IUPAC periodic table
Q038,chemistry,moderate,What is the atomic number of Strontium?,38,"According to the periodic table, Strontium has atomic number 38.",IUPAC periodic table
Q039,chemistry,moderate,What is the atomic number of Yttrium?,39,"According to the periodic table, Yttrium has atomic number 39.",IUPAC periodic table
Q040,chemistry,moderate,What is the atomic number of Zirconium?,40,"According to the periodic table, Zirconium has atomic number 40.",IUPAC periodic table
Q041,chemistry,moderate,What is the atomic number of Niobium?,41,"According to the periodic table, Niobium has atomic number 41.",IUPAC periodic table
Q042,chemistry,moderate,What is the atomic number of Molybdenum?,42,"According to the periodic table, Molybdenum has atomic number 42.",IUPAC periodic table
Q043,chemistry,moderate,What is the atomic number of Technetium?,43,"According to the periodic table, Technetium has atomic number 43.",IUPAC periodic table
Q044,chemistry,moderate,What is the atomic number of Ruthenium?,44,"According to the periodic table, Ruthenium has atomic number 44.",IUPAC periodic table
Q045,chemistry,moderate,What is the atomic number of Rhodium?,45,"According to the periodic table, Rhodium has atomic number 45.",IUPAC periodic table
Q046,chemistry,moderate,What is the atomic number of Palladium?,46,"According to the periodic table, Palladium has atomic number 46.",IUPAC periodic table
Q047,chemistry,moderate,What is the atomic number of Silver?,47,"According to the periodic table, Silver has atomic number 47.",IUPAC periodic table
Q048,chemistry,moderate,What is the atomic number of Cadmium?,48,"According to the periodic table, Cadmium has atomic number 48.",IUPAC periodic table
Q049,chemistry,moderate,What is the atomic number of Indium?,49,"According to the periodic table, Indium has atomic number 49.",IUPAC periodic table
Q050,chemistry,moderate,What is the atomic number of Tin?,50,"According to the periodic table, Tin has atomic number 50.",IUPAC periodic table
Q051,chemistry,moderate,What is the atomic number of Antimony?,51,"According to the periodic table, Antimony has atomic number 51.",IUPAC periodic table
Q052,chemistry,moderate,What is the atomic number of Tellurium?,52,"According to the periodic table, Tellurium has atomic number 52.",IUPAC periodic table
Q053,chemistry,moderate,What is the atomic number of Iodine?,53,"According to the periodic table, Iodine has atomic number 53.",IUPAC periodic table
Q054,chemistry,moderate,What is the atomic number of Xenon?,54,"According to the periodic table, Xenon has atomic number 54.",IUPAC periodic table
